run,repetition,Module,nbDataPacketsForwarded
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[45].generic.np,511
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[46].generic.np,490
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[47].generic.np,836
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[48].generic.np,760
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[49].generic.np,759
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[50].generic.np,858
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[51].generic.np,525
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[52].generic.np,444
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[53].generic.np,464
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[54].generic.np,679
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[55].generic.np,686
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[56].generic.np,450
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[57].generic.np,643
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[58].generic.np,919
RandomWaypointMobility-2-20211008-23:55:59-21704,2,TARPNetwork.node[59].generic.np,942
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[0].generic.np,589
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[1].generic.np,1031
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[2].generic.np,484
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[3].generic.np,539
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[4].generic.np,520
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[5].generic.np,610
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[6].generic.np,570
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[7].generic.np,531
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[8].generic.np,673
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[9].generic.np,781
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[10].generic.np,617
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[11].generic.np,520
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[12].generic.np,468
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[13].generic.np,753
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[14].generic.np,385
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[15].generic.np,569
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[16].generic.np,676
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[17].generic.np,0
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[18].generic.np,706
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[19].generic.np,623
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[20].generic.np,363
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[21].generic.np,398
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[22].generic.np,0
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[23].generic.np,635
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[24].generic.np,562
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[25].generic.np,846
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[26].generic.np,740
RandomWaypointMobility-14-20211008-23:55:57-24136,14,TARPNetwork.node[27].generic.np,575
