run,PauseTime,repetition,Module,meanNbHops,nbDataPacketsForwarded,nbDataPacketsReceived,nbDataPacketsSent,nbSpdDrops
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[2].generic.np,NaN,NaN,0,0,NaN
RandomWaypointMobility-SPD-A-11-20220312-12:44:46-16064,0,11,TARPNetwork.node[23].generic.np,0,590,0,0,158
RandomWaypointMobility-SPD-A-6-20220312-12:43:44-16064,0,6,TARPNetwork.node[36].generic.np,0,528,0,0,338
RandomWaypointMobility-SPD-A-6-20220312-12:43:44-16064,0,6,TARPNetwork.node[38].generic.np,0,407,0,0,285
RandomWaypointMobility-SPD-A-6-20220312-12:43:44-16064,0,6,TARPNetwork.node[37].generic.np,0,524,0,0,329
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[26].generic.np,0,284,0,0,359
RandomWaypointMobility-SPD-A-6-20220312-12:43:44-16064,0,6,TARPNetwork.node[35].generic.np,0,582,0,0,315
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[36].generic.np,0,346,0,0,368
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[38].generic.np,0,208,0,0,323
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[37].generic.np,0,574,0,0,235
RandomWaypointMobility-SPD-A-6-20220312-12:43:44-16064,0,6,TARPNetwork.node[34].generic.np,0,483,0,0,351
RandomWaypointMobility-SPD-A-5-20220312-12:43:35-16064,0,5,TARPNetwork.node[22].generic.np,2.6165577342048,0,459,459,0
RandomWaypointMobility-SPD-A-4-20220312-12:43:25-16064,0,4,TARPNetwork.node[16].generic.np,0,228,0,0,302
RandomWaypointMobility-SPD-A-4-20220312-12:43:25-16064,0,4,TARPNetwork.node[14].generic.np,0,358,0,0,257
RandomWaypointMobility-SPD-A-4-20220312-12:43:25-16064,0,4,TARPNetwork.node[15].generic.np,0,415,0,0,295
RandomWaypointMobility-SPD-A-4-20220312-12:43:25-16064,0,4,TARPNetwork.node[17].generic.np,3.2486772486772,0,189,900,0
RandomWaypointMobility-SPD-A-4-20220312-12:43:25-16064,0,4,TARPNetwork.node[18].generic.np,0,316,0,0,215
