run,repetition,Module,echoedPk:count,echoedPk:sum(packetBytes),packetReceived:count,packetReceived:sum(packetBytes),packets received,packets sent,packetSent:count,packetSent:sum(packetBytes)
RandomWaypointMobility-DD-23-20211009-17:28:27-17172,23,TARPNetwork.node[17].app[0],NaN,NaN,666,666000,666,900,900,900000
RandomWaypointMobility-DD-23-20211009-17:28:27-17172,23,TARPNetwork.node[22].app[0],899,899000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-5-20211009-17:23:34-21552,5,TARPNetwork.node[17].app[0],NaN,NaN,697,697000,697,900,900,900000
RandomWaypointMobility-DD-5-20211009-17:23:34-21552,5,TARPNetwork.node[22].app[0],877,877000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-27-20211009-17:26:44-16960,27,TARPNetwork.node[17].app[0],NaN,NaN,657,657000,657,900,900,900000
RandomWaypointMobility-DD-27-20211009-17:26:44-16960,27,TARPNetwork.node[22].app[0],888,888000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-1-20211009-17:25:10-18744,1,TARPNetwork.node[17].app[0],NaN,NaN,614,614000,614,900,900,900000
RandomWaypointMobility-DD-1-20211009-17:25:10-18744,1,TARPNetwork.node[22].app[0],898,898000,NaN,NaN,NaN,NaN,NaN,NaN
RandomWaypointMobility-DD-10-20211009-17:23:34-21660,10,TARPNetwork.node[17].app[0],NaN,NaN,673,673000,673,900,900,900000
RandomWaypointMobility-DD-10-20211009-17:23:34-21660,10,TARPNetwork.node[22].app[0],871,871000,NaN,NaN,NaN,NaN,NaN,NaN
